0:0:0:0:0:0:0:1 - - [05/Dec/2023:09:33:03 +0900] "GET /resources/mainImg/centraal-asia.png HTTP/1.1" 200 15976
0:0:0:0:0:0:0:1 - - [05/Dec/2023:09:33:03 +0900] "GET /resources/mainImg/europe.png HTTP/1.1" 200 3588
0:0:0:0:0:0:0:1 - - [05/Dec/2023:09:33:03 +0900] "GET /resources/mainImg/north-east-asia.png HTTP/1.1" 200 26675
0:0:0:0:0:0:0:1 - - [05/Dec/2023:09:33:03 +0900] "GET /resources/mainImg/south-east-asia.png HTTP/1.1" 200 34535
0:0:0:0:0:0:0:1 - - [05/Dec/2023:09:33:03 +0900] "GET /img/tm-img-06.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2023:09:33:03 +0900] "GET /resources/mainImg/north_america.png HTTP/1.1" 200 35922
0:0:0:0:0:0:0:1 - - [05/Dec/2023:09:33:03 +0900] "GET /resources/img/tm-img-07.jpg HTTP/1.1" 200 29033
0:0:0:0:0:0:0:1 - - [05/Dec/2023:09:33:03 +0900] "GET /resources/mainImg/oceania.png HTTP/1.1" 200 6335
0:0:0:0:0:0:0:1 - - [05/Dec/2023:09:33:03 +0900] "GET /resources/img/tm-img-05.jpg HTTP/1.1" 200 32670
0:0:0:0:0:0:0:1 - - [05/Dec/2023:09:33:03 +0900] "GET /resources/img/tm-img-06.jpg HTTP/1.1" 200 29110
0:0:0:0:0:0:0:1 - - [05/Dec/2023:09:33:03 +0900] "GET /img/alert.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Dec/2023:09:33:03 +0900] "GET /resources/img/tm-img-03.jpg HTTP/1.1" 200 151192
0:0:0:0:0:0:0:1 - - [05/Dec/2023:09:33:03 +0900] "GET /resources/img/tm-img-01.jpg HTTP/1.1" 200 224732
0:0:0:0:0:0:0:1 - - [05/Dec/2023:09:33:03 +0900] "GET /resources/img/tm-img-04.jpg HTTP/1.1" 200 31128
0:0:0:0:0:0:0:1 - - [05/Dec/2023:09:33:03 +0900] "GET /resources/img/tm-img-02.jpg HTTP/1.1" 200 216040
0:0:0:0:0:0:0:1 - - [05/Dec/2023:09:33:03 +0900] "GET /resources/img/button-curve.png HTTP/1.1" 200 4609
0:0:0:0:0:0:0:1 - - [05/Dec/2023:09:33:03 +0900] "GET /resources/js/popper.min.js HTTP/1.1" 200 19193
0:0:0:0:0:0:0:1 - - [05/Dec/2023:09:33:03 +0900] "GET /resources/js/bootstrap.min.js HTTP/1.1" 200 48950
